"id","version","crossreferencet","definitiond","entrya","nounadjplurale","nounadjpluralsyllf","partofspeechc","sentenceenglishs","sentenceq","sentencesyllr","syllabaryb","vfirstpresg","vfirstpresh","vsecondimperm","vsecondimpersylln","vthirdinfo","vthirdinfsyllp","vthirdpasti","vthirdpastsyllj","vthirdpresk","vthirdpressylll","entrytranslit","nounadjpluraltranslit","sentencetranslit","vfirstprestranslit","vsecondimpertranslit","vthirdinftranslit","vthirdpasttranslit","vthirdprestranslit","entrytone","nounadjpluraltone","vfirstprestone","vsecondimpertone","vthirdinftone","vthirdpasttone","vthirdprestone","source","definitionlarge","etymology","category","notes","modified"
72181,1,"","third person animate (see Gram. II, A)",a-,"","",n. pref.,"","","","","","","","","","","","","","","","","","","","","","",a-,"","","","","","",ced,"","","","","1,545,507,730,000"
72182,1,"","third person subject (see Gram. I, B)",a-,"","",v. pref.,"","","","","","","","","","","","","","","","","","","","","","",a-,"","","","","","",ced,"","","","","1,545,507,730,000"
72183,1,"","present tense (see Gram. I, D)",-a,"","",v. suf,"","","","","","","","","","","","","","","","","","","","","","",-a,"","","","","","",ced,"","","","","1,545,507,731,000"
72184,4,,boy,achuja,anichuja,ᎠᏂᏧᏣ,n,The <u>boys</u> are playing ball.,Na <u>anichuja</u> sgwahlesdi dananelohvsga.,Ꮎ <u>ᎠᏂᏧᏣ</u> ᏍᏆᏞᏍᏗ ᏓᎾᏁᎶᎲᏍᎦ.,ᎠᏧᏣ,,,,,,,,,,,atsutsa,anitsutsa,na anitsutsa squatlesdi dananelohvsga,,,,,,a.2chu4ja,a.2ni2chu4ja,,,,,,ced,,,"","","1,617,929,941,000"
72185,1,julichvyasdi,male (animal),achvya,anichvya,ᎠᏂᏨᏯ,n,<u>Roosters</u> crow at dawn.,Jitaga <u>anichvya</u> ugitsdeyi anayhgoi.,ᏥᏔᎦ <u>ᎠᏂᏨᏯ</u> ᎤᎩᏥᏍᏕᏱ ᎠᎾᏴᎪᎢ.,ᎠᏨᏯ,"","","","","","","","","","",atsvya,anitsvya,tsitaga anitsvya ugitsisdeyi anayvgoi,"","","","","",a.2chv2ya,a.2ni2chv2ya,"","","","","",ced,"","","","","1,545,507,731,000"
72186,1,"",wood,ada,"","",n,How much does one rick of <u>wood</u> cost?,Hila jugvwahldi sagwu igasvti <u>ada</u>?,ᎯᎳ ᏧᎬᏩᎶᏗ ᏌᏊ ᎢᎦᏒᏘ <u>ᎠᏓ</u>?,ᎠᏓ,"","","","","","","","","","",ada,"",hila tsugvwalodi saquu igasvti ada,"","","","","",a.2da,"","","","","","",ced,"","","","","1,545,507,731,000"
72187,1,agina,young animal (animal born in litter or hatched),ada,anida,ᎠᏂᏓ,n,He's thinking about raising <u>chicks</u>.,Jitaga <u>anida</u> jutvhisdohdi adanhteha.,ᏥᏔᎦ <u>ᎠᏂᏓ</u> ᏧᏛᎯᏍᏙᏗ ᎠᏓᏅᏖᎭ.,ᎠᏓ,"","","","","","","","","","",ada,anida,tsitaga anida tsudvhisdodi adanvteha,"","","","","",a.?4da,a.2ni4da,"","","","","",ced,"","","","","1,545,507,731,000"
72188,1,"adadega (limp), adadinvdiha",it's bouncing,adadega,"","",vi,"When he threw the ball down, <u>it bounced</u>.",Eladi wudina sgwahlesdi <u>udadinvsvi</u>.,ᎡᎳᏗ ᏭᏗᎾ ᏍᏆᏞᏍᏗ <u>ᎤᏓᏗᏅᏒᎢ</u>.,ᎠᏓᏕᎦ,gadadega,ᎦᏓᏕᎦ,hadaduga,ᎭᏓᏚᎦ,udadinvdi,ᎤᏓᏗᏅᏗ,udadinvsvi,ᎤᏓᏗᏅᏒᎢ,adadegoi,ᎠᏓᏕᎪᎢ,adadega,"",eladi wudina squatlesdi udadinvsvi,gadadega,hadatuga,udadinvdi,udadinvsvi,adadegoi,a1da.2de3ga,"",ga.2da.2de3ga,ha.2da.2du1ga,u2da.2di23nv32di,u1da.2di23nv32sv23?i,a1da.2de3go3?i,ced,"","","","","1,545,507,731,000"
72189,2,adadega (bounce),he's limping,adadega,"","",vi,I see a lame man <u>limping</u>.,Ayouhlia asgaya <u>adadegv</u> jigowhtiha.,ᎠᏲᎤᏟᎠ ᎠᏍᎦᏯ <u>ᎠᏓᏕᎬ</u> ᏥᎪᏮᏘᎭ.,ᎠᏓᏕᎦ,gadadega,ᎦᏓᏕᎦ,hadaduga,ᎭᏓᏚᎦ,udadinvdi,ᎤᏓᏗᏅᏗ,udadesvi,ᎤᏓᏕᏒᎢ,adadegoi,ᎠᏓᏕᎪᎢ,adadega,"",ayoutlia asgaya adadegv tsigowvtiha,gadadega,hadatuga,udadinvdi,udadinvsvi,adadegoi,a1da.2de3ga,"",ga.2da.2de3ga,ha.2da.2du1ga,u2da.2di23nv32di,u1da.2de3sv23?i,a1da2de3go3?i,ced,"","","","","1,545,507,731,000"
72190,1,adadega (bounce),he's bouncing it,adadinvdiha,"","",vt,The ball player is <u>bouncing</u> the ball hard.,Na alasgalisgi sdayi <u>adadinvdiha</u> sgwahlesdi.,Ꮎ ᎠᎳᏍᎦᎵᏍᎩ ᏍᏓᏱ <u>ᎠᏓᏗᏅᏗᎭ</u> ᏍᏆᏞᏍᏗ.,ᎠᏓᏗᏅᏗᎭ,gadadinvdiha,ᎦᏓᏗᏅᏗᎭ,hadadinvda,ᎭᏓᏗᏅᏓ,udadinvdohdi,ᎤᏓᏗᏅᏙᏗ,udadinvtanvi,ᎤᏓᏗᏅᏔᏅᎢ,adadinvdisgoi,ᎠᏓᏗᏅᏗᏍᎪᎢ,adadinvdiha,"",na alasgalisgi sdayi adadinvdiha squatlesdi,gadadinvdiha,hadadinvda,udadinvdodi,udadinvtanvi,adadinvdisgoi,a1da.2di23nv32di.2ha,"",ga.2da.2di23nv32di.2ha,ha.2da.2di23nv1da,u2da.2di23nv32doh2di,u1da.2di23nv32ta.2nv23?i,a1da2di23nv32di2sgo3?i,ced,"","","","","1,545,507,731,000"
72191,1,"adadlosdi, gadlohiha",he's putting on a belt,adadlohiha,"","",vt,<u>She put on a</u> pretty <u>belt</u> when she went to town.,Uwoduhi adadlosdi <u>udadlohlvi</u> digaduhv uwena.,ᎤᏬᏚᎯ ᎠᏓᏠᏍᏗ <u>ᎤᏓᏠᏢᎢ</u> ᏗᎦᏚᎲ ᎤᏪᎾ.,ᎠᏓᏠᎯᎭ,gadadlohiha,ᎦᏓᏠᎯᎭ,hadadloga,ᎭᏓᏠᎦ,udadlosdi,ᎤᏓᏠᏍᏗ,udadlohlvi,ᎤᏓᏠᏢᎢ,adadlohihoi,ᎠᏓᏠᎯᎰᎢ,adatlohiha,"",uwotuhi adatlosdi udatlotlvi digatuhv uwena,gadatlohiha,hadatloga,udatlosdi,udatlotlvi,adatlohihoi,a1da3dlo2hi.3ha,"",ga.2da3dlo2hi.3ha,ha.2da1dlo23ga,u2da1dlo23sdi,u1da3dlo2hlv23i,a1da3dlo23hi2ho3?i,ced,"","","","","1,545,507,731,000"
72192,3,adadlohiha,belt,adadlosdi,didadlosdi,ᏗᏓᏠᏍᏗ,n,I got a <u>belt</u> for Christmas.,<u>Adadlosdi</u> aginesv Danisdayohihvi.,<u>ᎠᏓᏠᏍᏗ</u> ᎠᎩᏁᏒ ᏓᏂᏍᏓᏲᎯᎲᎢ.,ᎠᏓᏠᏍᏗ,"","","","","","","","","","",adatlosdi,didatlosdi,adatlosdi aginesv danisdayohihvi,"","","","","",a.2da1dlo23sdi,di2da1dlo23sdi,"","","","","",ced,"","","","","1,545,507,731,000"
72193,3,"adadolisdiha, gadoliga",prayer,adadolisdi,"","",n,The preacher asked for <u>prayers</u>.,<u>Adadolisdi</u> utayohlv ahljadohvsgi.,<u>ᎠᏓᏙᎵᏍᏗ</u> ᎤᏔᏲᏢ ᎠᎵᏣᏙᎲᏍᎩ.,ᎠᏓᏙᎵᏍᏗ,"","","","","","","","","","",adadolisdi,"",adadolisdi utayotlv alitsadohvsgi,"","","","","",a.2da2do23li32sdi,"","","","","","",ced,"","","","","1,545,507,732,000"
72194,2,"adadolisdi, gadoliga",he's praying,adadolisdiha,"","",vi,<u>He prays</u> three times a day.,Joi iyuwakdi <u>adadolisdisgo</u> siga.,ᏦᎢ ᎢᏳᏩᎩᏗ <u>ᎠᏓᏙᎵᏍᏗᏍᎪ</u> ᏏᎦ.,ᎠᏓᏙᎵᏍᏗᎭ,gadadolisdiha,ᎦᏓᏙᎵᏍᏗᎭ,hadadolisda,ᎭᏓᏙᎵᏍᏓ,udadolisdohdi,ᎤᏓᏙᎵᏍᏙᏗ,udadolistanvi,ᎤᏓᏙᎵᏍᏔᏅᎢ,adadolisdisgoi,ᎠᏓᏙᎵᏍᏗᏍᎪᎢ,adadolisdiha,"",tsoi iyuwagidi adadolisdisgo siga,gadadolisdiha,hadadolisda,udadolisdodi,udadolistanvi,adadolisdisgoi,a1da2do23li32sdi.2ha,"",ga.2da2do23li32sdi.2ha,ha.2da2do2li1sda,u2da2do23li32sdoh2di,u1da2do23li32sta.2nv23?i,a1da2do23li32sdi2sgo3?i,ced,"","","","","1,545,507,732,000"
72195,4,"","1. tender  2. very young, new",adagei,anidagei,ᎠᏂᏓᎨᎢ,adj,She bought <u>tender</u> green beans at the store. <u>A very young</u> child drinks only milk.,<u>Anidage</u> tuya anije duhwasv didananvi. <u>Adage</u> ayohli unvdigwu iga aditasgoi.,<u>ᎠᏂᏓᎨ</u> ᏚᏯ ᎠᏂᏤ ᏚᏩᏒ ᏗᏓᎾᏅᎢ. <u>ᎠᏓᎨ</u> ᎠᏲᏟ ᎤᏅᏗᏊ ᎢᎦ ᎠᏗᏔᏍᎪᎢ.,ᎠᏓᎨᎢ,"","","","","","","","","","",adagei,anidagei,anidage tuya anitse tuwasv didananvi adage ayotli unvdiquu iga aditasgoi,"","","","","",a.3da.2ge4?i,a.2ni3da.2ge4?i,"","","","","",ced,"","","","","1,545,507,732,000"
72196,3,udageyuha,love,adageyhdi,"","",n,<u>Love</u> is important.,<u>Adageyhdi</u> ulsgeda.,<u>ᎠᏓᎨᏴᏗ</u> ᎤᎵᏍᎨᏓ.,ᎠᏓᎨᏳᏗ,"","","","","","","","","","",adageyudi,"",adageyvdi ulisgeda,"","","","","",a.2da2geyh2di,"","","","","","",ced,"","","","","1,545,507,732,000"
72197,3,"ahiha, didahihi",thing that kills,adahihi,anadahihi,ᎠᎾᏓᎯᎯ,n,Some pills are <u>killers</u> if too many are swallowed.,Igada dikisdi <u>anadahihi</u> tsgwisdi yidakisa.,ᎢᎦᏓ ᏗᎩᏍᏗ <u>ᎠᎾᏓᎯᎯ</u> ᏥᏈᏍᏗ ᏱᏓᎩᏌ.,ᎠᏓᎯᎯ,"","","","","","","","","","",adahihi,anadahihi,igada digisdi anadahihi tsiquisdi yidagisa,"","","","","",a.2da23hi.2hi,a.2na.2da23hi.2hi,"","","","","",ced,"","","","","1,545,507,732,000"
72198,4,kanesahla,purse,adahlinesahldi,didahlinesahldi,ᏗᏓᏟᏁᏌᎵᏗ,n,He gave his wife a new <u>purse</u>.,Ije <u>adahlinesahldi</u> unvnelv usdayvhvsgi.,ᎢᏤ <u>ᎠᏓᏟᏁᏌᎵᏗ</u> ᎤᏅᏁᎸ ᎤᏍᏓᏴᎲᏍᎩ.,ᎠᏓᏟᏁᏌᎵᏗ,"","","","","","","","","","",adatlinesalidi,didatlinesalidi,itse adatlinesalidi unvnelv usdayvhvsgi,"","","","","",a.2da2hli.2ne3sahl2di,di2da2hli.2ne3sahl2di,"","","","","",ced,"","","","","1,545,507,732,000"
72199,3,ahneha,gift,adahnehdi,didahnehdi,ᏗᏓᏁᏗ,n,"When it's close to Christmas, people shop for <u>gifts</u>.","Danisdayohihv nav yigi, <u>didahnehdi</u> anadaneanesvhvsgo yvwi.","ᏓᏂᏍᏓᏲᎯᎲ ᎾᎥ ᏱᎩ, <u>ᏗᏓᏁᏗ</u> ᎠᎾᏓᏁᎠᏁᏒᎲᏍᎪ ᏴᏫ.",ᎠᏓᏁᏗ,"","","","","","","","","","",adanedi,didanedi,danisdayohihv nav yigi didanedi anadaneanesvhvsgo yvwi,"","","","","",a.2da23hneh2di,di2da23hneh2di,"","","","","",ced,"","","","","1,545,507,732,000"
72200,2,"adahnoyo, kanoyeha",he's fanning himself,adahnoyeha,"","",vi,"<u>She</u> wants <u>to fan</u> herself, but she has no fan.",<u>Udahnoyehdi</u> uduli asehnv hla adahnoyo yuwaya.,<u>ᎤᏓᏃᏰᏗ</u> ᎤᏚᎵ ᎠᏎᏅ Ꮭ ᎠᏓᏃᏲ ᏳᏩᏯ.,ᎠᏓᏃᏰᎭ,gadanoyeha,ᎦᏓᏃᏰᎭ,hadahnoyvla,ᎭᏓᏃᏴᎳ,udahnoyehdi,ᎤᏓᏃᏰᏗ,udahnoyehvi,ᎤᏓᏃᏰᎲᎢ,adahnoyesgoi,ᎠᏓᏃᏰᏍᎪᎢ,adanoyeha,"",udanoyedi utuli asenv tla adanoyo yuwaya,gadanoyeha,hadanoyvla,udanoyedi,udanoyehvi,adanoyesgoi,a1da.2hno3ye.2ha,"",ga.2da1no3ye.2ha,ha.2da.2hno2yv23la,u2da.2hno3yeh3di,u1da.2hno3ye.2hv23?i,a1da.2hno3ye2sgo3?i,ced,"","","","","1,545,507,732,000"
72201,1,"adahnoyeha, kanoyeha",fan,adahnoyo,didahnoyo,ᏗᏓᏃᏲ,n,It's hot. Plug in the <u>fan</u>.,Udihlehga. Hudalvvga <u>adahnoyo</u>.,ᎤᏗᏞᎦ. ᎱᏓᎸᎥᎦ <u>ᎠᏓᏃᏲ</u>.,ᎠᏓᏃᏲ,"","","","","","","","","","",adanoyo,didanoyo,uditlega hudalvvga adanoyo,"","","","","",a.2da.2hno2yo,di2da.2hno2yo,"","","","","",ced,"","","","","1,545,507,732,000"
72202,1,ahwahtvhidoha,he's visiting,adahwahtvhidoha,"","",vi,This isn't my home. <u>I'm just visiting</u>.,Hla ayv agwenvsv yigi ahani. <u>Gadawahtvhidohagwu</u>.,Ꮭ ᎠᏴ ᎠᏇᏅᏒ ᏱᎩ ᎠᎭᏂ. <u>ᎦᏓᏩᏛᎯᏙᎭᏊ</u>.,ᎠᏓᏩᏛᎯᏙᎭ,gadawahtvhidoha,ᎦᏓᏩᏛᎯᏙᎭ,hadahwahtvhida,ᎭᏓᏩᏛᎯᏓ,udahwahtvhidasdi,ᎤᏓᏩᏛᎯᏓᏍᏗ,udahwahtvhidolvi,ᎤᏓᏩᏛᎯᏙᎸᎢ,adahwahtvhidohoi,ᎠᏓᏩᏛᎯᏙᎰᎢ,adawatvhidoha,"",tla ayv aquenvsv yigi ahani gadawatvhidohaquu,gadawatvhidoha,hadawatvhida,udawatvhidasdi,udawatvhidolvi,adawatvhidohoi,a1da2hwah2tv2hi23do32ha,"",ga2da1wah2tv2hi23do32ha,ha.2da2hwah2tv2hi2da,u2da2hwah2tv2hi23da32sdi,u1da2hwah2tv2hi23do32lv23i,a1da2hwah2tv2hi23do32ho3?i,ced,"","","","","1,545,507,732,000"
72203,2,"",he's stretching,adahyasdiha,"","",vi,"When he finished writing letters, <u>he stretched</u>.","Usgwada gohweli degohwelisgv, <u>udahyastanvi</u>.","ᎤᏍᏆᏓ ᎪᏪᎵ ᏕᎪᏪᎵᏍᎬ, <u>ᎤᏓᏯᏍᏔᏅᎢ</u>.",ᎠᏓᏯᏍᏗᎭ,gadayasdiha,ᎦᏓᏯᏍᏗᎭ,hadahyasda,ᎭᏓᏯᏍᏓ,udahyasdohdi,ᎤᏓᏯᏍᏙᏗ,udahyastanvi,ᎤᏓᏯᏍᏔᏅᎢ,adahyasdisgoi,ᎠᏓᏯᏍᏗᏍᎪᎢ,adayasdiha,"","usquada goweli degowelisgv, <u>udayastanvi</u>.",gadayasdiha,hadayasda,udayasdodi,udayastanvi,adayasdisgoi,a1da2hya32sdi.2ha,"",ga.2da1ya32sdi.2ha,ha.2da2hya1sda,u2da2hya1sdoh3di,u1da2hya32sta.2nv23?i,a1da2hya32sdi2sgo3?i,ced,"","","","","1,575,908,152,000"
72204,3,"gahyea, gahyesdi",cancer,adahyesgi,"","",n,He was cured of his <u>cancer</u>.,<u>Adahyesgi</u> udlvgv ajinvwanvi.,<u>ᎠᏓᏰᏍᎩ</u> ᎤᏢᎬ ᎠᏥᏅᏩᏅᎢ.,ᎠᏓᏰᏍᎩ,"","","","","","","","","","",adayesgi,"",adayesgi utlvgv atsinvwanvi,"","","","","",a.2da2hye4sgi,"","","","","","",ced,"","","","","1,545,507,733,000"
72205,2,"","he's denying him, it",adahyiha,"","",vt,"When he was accused of stealing, <u>he denied it</u>. <u>I am denying him</u> because I don't know him.","Unosgisv aguistana, <u>udahyilvi</u>. <u>Jiyadayiha</u>, hlahehno yijiyoliga.","ᎤᏃᏍᎩᏒ ᎠᎫᎢᏍᏔᎾ, <u>ᎤᏓᏱᎸᎢ</u>. <u>ᏥᏯᏓᏱᎭ</u>, ᏝᎮᏃ ᏱᏥᏲᎵᎦ.",ᎠᏓᏱᎭ,"jiyadayiha, gadayiha","ᏥᏯᏓᏱᎭ, ᎦᏓᏱᎭ","hiyadayiga, hadayhga","ᎯᏯᏓᏱᎦ, ᎭᏓᏴᎦ",udayhsdi,ᎤᏓᏴᏍᏗ,udahyilvi,ᎤᏓᏱᎸᎢ,adahyihoi,ᎠᏓᏱᎰᎢ,adayiha,"","unosgisv aguistana, <u>udayilvi</u>. <u>tsiyadayiha</u>, tlaheno yitsiyoliga.","","",udayvsdi,udayilvi,adayihoi,a1da.2hyi.3ha,"","ji2ya.2da.?2yi.3ha, ga.2da.?2yi.3ha","hi2ya.2da.2yi1ga, ha2dayh2ga",u2dayh2sdi,u1da.2hyi.2lv23?i,a1da.2hyi.2ho3?i,ced,"","","","","1,575,908,152,000"
72206,3,"adahyonehdi, adahyonehi",he's committing adultery,adahyoneha,"","",vi,"The eighth commandment says, ""Thou shalt <u>not commit adultery</u>.""","Chaneline dikanowadvsdi ""hlesdi <u>jadahyonelvi</u>"" adiha.","ᏣᏁᎵᏁ ᏗᎧᏃᏩᏛᏍᏗ ""ᏞᏍᏗ <u>ᏣᏓᏲᏁᎸᎢ</u>"" ᎠᏗᎭ.",ᎠᏓᏲᏁᎭ,gadayoneha,ᎦᏓᏲᏁᎭ,hadahyonvla,ᎭᏓᏲᏅᎳ,udahyonehdi,ᎤᏓᏲᏁᏗ,udahyonelvi,ᎤᏓᏲᏁᎸᎢ,adahyonehoi,ᎠᏓᏲᏁᎰᎢ,adayoneha,"","tsaneline dikanowadvsdi ""tlesdi <u>tsadayonelvi</u>"" adiha.",gadayoneha,hadayonvla,udayonedi,udayonelvi,adayonehoi,a1da2hyo3ne.2ha,"",ga.2da1yo3ne.2ha,ha.2da2hyo2nv23la,u2da2hyo2neh3di,u1da2hyo3ne2lv23?i,a1da2hyo3ne.2ho3?i,ced,"","","","","1,575,908,152,000"
72207,1,"adahyoneha, adahyonehi",adultery,adahyonehdi,"","",n,The Bible reproves <u>adultery</u>.,Galvkwdi gohweli asgaga <u>adahyonehdi</u>.,ᎦᎸᏉᏗ ᎪᏪᎵ ᎠᏍᎦᎦ <u>ᎠᏓᏲᏁᏗ</u>.,ᎠᏓᏲᏁᏗ,"","","","","","","","","","",adayonedi,"",galvquodi goweli asgaga adayonedi,"","","","","",a.2da2hyo2neh3di,"","","","","","",ced,"","","","","1,545,507,733,000"
72208,1,"adayoneha, adahyonehdi",adulterer,adahyonehi,dinadahyonehi,ᏗᎾᏓᏲᏁᎯ,n,An <u>adulteress</u> is mentioned in chapter eight of the book of John.,Jani osda kanohedv chaneline ayatohlv ajineisdi <u>adahyonehi</u> agehya.,ᏣᏂ ᎣᏍᏓ ᎧᏃᎮᏛ ᏣᏁᎵᏁ ᎠᏯᏙᏢ ᎠᏥᏁᎢᏍᏗ <u>ᎠᏓᏲᏁᎯ</u> ᎠᎨᏯ.,ᎠᏓᏲᏁᎯ,"","","","","","","","","","",adayonehi,dinadayonehi,tsani osda kanohetv tsaneline ayadotlv atsineisdi adayonehi ageya,"","","","","",a.2da2hyo2ne4hi,di2na.2da2hyo2ne4hi,"","","","","",ced,"","","","","1,545,507,733,000"
72209,1,gajagaliha,it's ripping,adajagaliha,"","",vi,An old cloth is easy <u>to rip</u>.,Uweti ahnawo ahida geso <u>udajagahldi</u>.,ᎤᏪᏘ ᎠᎿᏬ ᎠᎯᏓ ᎨᏐ <u>ᎤᏓᏣᎦᎵᏗ</u>.,ᎠᏓᏣᎦᎵᎭ,gadajagalia,ᎦᏓᏣᎦᎵᎠ,hadajagala,ᎭᏓᏣᎦᎳ,udajagahldi,ᎤᏓᏣᎦᎵᏗ,udajagalvhvi,ᎤᏓᏣᎦᎸᎲᎢ,adajagalisgoi,ᎠᏓᏣᎦᎵᏍᎪᎢ,adatsagaliha,"",uweti ahnawo ahida geso udatsagalidi,gadatsagalia,hadatsagala,udatsagalidi,udatsagalvhvi,adatsagalisgoi,a1da2ja.2ga.2li.3ha,"",ga.2da2ja.2ga.2li.3a,ha.2da.ja.2ga.2la,u2da2ja.2gahl2di,u1da2ja.2ga.2lv2hv23?i,a1da2ja.2ga.2li23sgo.3?i,ced,"","","","","1,545,507,733,000"
72210,4,gajvysga,something that stings,adajvysgi,anadajvysgi,ᎠᎾᏓᏨᎢᏍᎩ,n,Some kind of a <u>stinging</u> bug stung him on his hand.,gohusd usdi tsgoya <u>adajvysgi</u> uwajvhyv uwoyeni.,ᎪᎱᏍᏓ ᎤᏍᏗ ᏥᎪᏯ <u>ᎠᏓᏨᎢᏍᎩ</u> ᎤᏩᏨᏴ ᎤᏬᏰᏂ.,ᎠᏓᏨᎢᏍᎩ,"","","","","","","","","","",adatsvisgi,anadatsvisgi,gohusda usdi tsisgoya adatsvisgi uwatsvyv uwoyeni,"","","","","",a.2da2jvy4sgi,a.2na.2da2jvy4sgi,"","","","","",ced,"","","","","1,545,507,733,000"
72211,2,adakehdi,he's looking at himself in a mirror,adakeha,,,vi,"When he's getting ready to go somewhere, <u>he uses a mirror</u>.",Dlv uwenvsdi yadvnvisdi <u>adakesgoi</u>.,Ꮲ ᎤᏪᏅᏍᏗ ᏯᏛᏅᎢᏍᏗ <u>ᎠᏓᎨᏍᎪᎢ</u>.,ᎠᏓᎨᎭ,gadakeha,ᎦᏓᎨᎭ,hadakvla,ᎭᏓᎬᎳ,udakehdi,ᎤᏓᎨᏗ,udakehvi,ᎤᏓᎨᎲᎢ,adakesgoi,ᎠᏓᎨᏍᎪᎢ,adageha,,tlv uwenusdi yatvnvisdi adagesgoi,gadageha,hadagvla,udagedi,udagehvi,adagesgoi,a1da2ke.3ha,,ga.2da1ke.3ha,ha.2da2kv23la,u2da2keh3di,u1da2ke23hv3?i,a1da2ke23sgo.3?i,ced,,,"","","1,547,429,518,000"
72212,1,adakeha,mirror,adakehdi,didakehdi,ᏗᏓᎨᏗ,n,She has a big <u>mirror</u> on the dresser.,Utana <u>adakehdi</u> nuwanhdi disehisdii.,ᎤᏔᎾ <u>ᎠᏓᎨᏗ</u> ᏄᏩᏅᏗ ᏗᏎᎯᏍᏗᎢ.,ᎠᏓᎨᏗ,"","","","","","","","","","",adagedi,didagedi,utana adagedi nuwanvdi disehisdii,"","","","","",a.2da2keh3di,di2da2keh3di,"","","","","",ced,"","","","","1,545,507,733,000"
72213,5,"aleniha, didalenisgvi",it's beginning,adaleniha,"","",vi,"When it's time for them to play ball, the ball game <u>begins</u>.",Unalasgahldi yuhliilohla <u>adalenisgo</u> analasgalisgvi.,ᎤᎾᎳᏍᎦᎵᏗ ᏳᏟᎢᎶᏝ <u>ᎠᏓᎴᏂᏍᎪ</u> ᎠᎾᎳᏍᎦᎵᏍᎬᎢ.,ᎠᏓᎴᏂᎭ,-----,"",-----,"",udalenhdi,ᎤᏓᎴᏅᏗ,udalenvhvi,ᎤᏓᎴᏅᎲᎢ,adalenisgoi,ᎠᏓᎴᏂᏍᎪᎢ,adaleniha,"",unalasgadi yutliilotla adalenisgo analasgalisgvi,"","",udalenvdi,udalenvhvi,adalenisgoi,a1da.2le2ni.3ha,"",-----,-----,u2da.2lenh2di,u1da.2le2nv2hv23?i,a1da.2le2ni23sgo.3?i,ced,"","","","","1,545,507,734,000"
72214,2,adananvi,he's shopping,adananesvhvsga,"","",vi,"She wants <u>to do</u> a lot of <u>shopping</u>, but the prices are too high.",Tsgwisdi <u>udananesvhvsdi</u> uduli asehnv tsgwisdi dagvwahldidana.,ᏥᏈᏍᏗ <u>ᎤᏓᎾᏁᏒᎲᏍᏗ</u> ᎤᏚᎵ ᎠᏎᏅ ᏥᏈᏍᏗ ᏓᎬᏩᎶᏗᏓᎾ.,ᎠᏓᎾᏁᏒᎲᏍᎦ,gadananesvhvsga,ᎦᏓᎾᏁᏒᎲᏍᎦ,hadananesvhvga,ᎭᏓᎾᏁᏒᎲᎦ,udananesvhvsdi,ᎤᏓᎾᏁᏒᎲᏍᏗ,udananesvhnvi,ᎤᏓᎾᏁᏒᏅᎢ,adananesvhvsgoi,ᎠᏓᎾᏁᏒᎲᏍᎪᎢ,adananesvhvsga,"",tsiquisdi udananesvhvsdi utuli asenv tsiquisdi dagvwalodidana,gadananesvhvsga,hadananesvhvga,udananesvhvsdi,udananesvnvi,adananesvhvsgoi,a1da2na2ne3sv2hv.3sga,"",ga.2da2na.2ne3sv2hv.3sga,ha.2da2na.2ne1sv2hv1ga,u2da2na.2ne1sv23hv.3sdi,u1da2na.2ne3sv2hnv23?i,a1da2na.2ne1sv2hv1sgo3?i,ced,"","","","","1,545,507,734,000"
72215,3,"adananesvhvsga, udanani",store,adananvi,dadananvi,ᏓᏓᎾᏅᎢ,n,I work in a <u>store</u> in the summer.,<u>Adananv</u> dagilvhwisdaneho gogi yinulstana.,<u>ᎠᏓᎾᏅ</u> ᏓᎩᎸᏫᏍᏓᏁᎰ ᎪᎩ ᏱᏄᎵᏍᏔᎾ.,ᎠᏓᎾᏅᎢ,"","","","","","","","","","",adananvi,dadananvi,adananv dagilvwisdaneho gogi yinulistana,"","","","","",a1da2na.?3nv4?i,da1da2na.?3nv4i,"","","","","",ced,"","","","","1,545,507,734,000"
72216,7,,he's taking off running,adanawsdiha,,,vi,"When he heard the dog bark, <u>he ran</u>.","Gihli dasuhwisgv utvgana, <u>udanawstanvi</u>.","ᎩᏟ ᏓᏑᏫᏍᎬ ᎤᏛᎦᎾ, <u>ᎤᏓᎾᏩᏍᏔᏅᎢ</u>.",ᎠᏓᎾᏩᏍᏗᎭ,gadanawsdiha,ᎦᏓᎾᏩᏍᏗᎭ,hadanawsda,ᎭᏓᎾᏩᏍᏓ,udanawsdohdi,ᎤᏓᎾᏩᏍᏙᏗ,udanawstanvi,ᎤᏓᎾᏩᏍᏔᏅᎢ,adanawsdisgoi,ᎠᏓᎾᏩᏍᏗᏍᎪᎢ,adanawasdiha,,"gitli dasuwisgv utvgana, <u>udanawstanvi</u>.",gadanawasdiha,hadanawasda,udanawasdodi,udanawastanvi,adanawasdisgoi,a1da.2naw32sdi.3ha,,ga.2da.2naw32sdi.3ha,ha.2da.2naw1sda,u2da.2naw1sdoh3di,u1da.2naw32sta.2nv23?i,a1da.2naw32sdi23sgo.3?i,ced,,,,,"1,673,404,929,000"
